Word,G2,G2 Ranking,Relative Frequency Difference Ranking,Relative Frequency Difference,Relative frequency - BNC,Relative frequency - Passwords,Absolute frequency - BNC,Absolute frequency - Passwords
ryan,42920.87988,244,301,4.86E-04,9.31E-06,4.96E-04,932,20027
bebe,42915.31846,245,361,4.28E-04,1.50E-07,4.28E-04,15,17312
mail,42712.97605,246,239,5.73E-04,3.41E-05,6.07E-04,3409,24526
james,42627.16625,247,174,7.23E-04,1.02E-04,8.25E-04,10197,33347
aw,42519.52888,248,348,4.38E-04,1.63E-06,4.39E-04,163,17761
bug,42184.06614,249,337,4.49E-04,3.70E-06,4.52E-04,370,18283
sunshine,41728.68898,250,297,4.91E-04,1.31E-05,5.04E-04,1313,20361
ray,41681.09999,251,274,5.21E-04,2.12E-05,5.42E-04,2118,21897
government,-41641.18797,252,214,-6.21E-04,6.22E-04,1.04E-06,62268,42
joe,41558.09208,253,230,5.85E-04,4.33E-05,6.29E-04,4337,25409
still,-41509.75064,254,178,-7.18E-04,7.47E-04,2.91E-05,74773,1176
ax,41376.0016,255,372,4.21E-04,9.19E-07,4.22E-04,92,17036
down,-41260.55814,256,149,-8.59E-04,9.59E-04,1.01E-04,96025,4063
tay,41067.83803,257,369,4.22E-04,1.41E-06,4.23E-04,141,17096
kiss,41007.31554,258,267,5.31E-04,2.63E-05,5.57E-04,2637,22509
mer,40973.35132,259,378,4.12E-04,4.40E-07,4.13E-04,44,16673
playboy,40917.61139,260,371,4.21E-04,1.49E-06,4.22E-04,149,17064
ros,40779.20856,261,327,4.59E-04,8.28E-06,4.68E-04,829,18896
however,-40630.04452,262,224,-6.04E-04,6.04E-04,6.68E-07,60498,27
yahoo,40487.0646,263,391,4.04E-04,1.50E-07,4.04E-04,15,16337
candy,40420.96235,264,358,4.31E-04,3.68E-06,4.34E-04,368,17558
him,-40411.28027,265,90,-0.001217682,0.001648441,4.31E-04,165016,17409
ken,40190.99178,266,261,5.39E-04,3.19E-05,5.70E-04,3192,23053
josh,40173.43524,267,362,4.28E-04,3.58E-06,4.31E-04,358,17428
might,-40039.79039,268,219,-6.13E-04,6.17E-04,4.11E-06,61811,166
rox,40011.23351,269,404,3.98E-04,4.99E-08,3.98E-04,5,16089
lou,39882.41566,270,345,4.40E-04,6.25E-06,4.46E-04,626,18031
going,-39820.27473,271,198,-6.49E-04,6.63E-04,1.44E-05,66414,581
andrea,39788.0746,272,370,4.21E-04,3.21E-06,4.25E-04,321,17162
ino,39733.53505,273,407,3.95E-04,2.00E-08,3.95E-04,2,15958
butterfly,39691.77803,274,347,4.39E-04,6.44E-06,4.45E-04,645,18000
cookie,39325.26792,275,399,4.00E-04,8.49E-07,4.00E-04,85,16182
cris,39264.34829,276,411,3.91E-04,8.99E-08,3.91E-04,9,15813
must,-39142.20847,277,185,-6.92E-04,7.25E-04,3.32E-05,72571,1343
mike,39078.35186,278,250,5.58E-04,4.38E-05,6.02E-04,4385,24335
shorty,39045.10515,279,414,3.90E-04,1.50E-07,3.90E-04,15,15758
rocks,38927.02039,280,277,5.17E-04,2.92E-05,5.46E-04,2925,22062
hate,38814.22476,281,275,5.20E-04,3.09E-05,5.51E-04,3097,22286
gal,38796.21565,282,400,3.99E-04,1.44E-06,4.01E-04,144,16189
mal,38748.75323,283,396,4.01E-04,1.69E-06,4.02E-04,169,16257
ron,38666.73987,284,326,4.59E-04,1.33E-05,4.73E-04,1332,19104
chick,38505.95242,285,385,4.08E-04,3.11E-06,4.11E-04,311,16610
ani,38494.03174,286,418,3.84E-04,1.30E-07,3.84E-04,13,15526
lynn,38484.91451,287,367,4.22E-04,5.59E-06,4.28E-04,560,17287
tyler,38463.17602,288,390,4.04E-04,2.65E-06,4.07E-04,265,16453
rey,38269.56738,289,416,3.86E-04,5.59E-07,3.87E-04,56,15638
ren,38233.72679,290,422,3.82E-04,1.90E-07,3.82E-04,19,15453
softball,38213.69639,291,424,3.81E-04,1.20E-07,3.81E-04,12,15408
las,38150.22476,292,387,4.06E-04,3.44E-06,4.10E-04,344,16562
mommy,38051.96875,293,425,3.80E-04,1.90E-07,3.81E-04,19,15380
while,-38018.23111,294,242,-5.65E-04,5.66E-04,6.68E-07,56642,27
cam,37847.93917,295,384,4.08E-04,4.25E-06,4.12E-04,425,16667
nik,37746.58492,296,429,3.80E-04,4.30E-07,3.80E-04,43,15371
max,37653.2423,297,334,4.50E-04,1.37E-05,4.64E-04,1375,18760
jason,37651.90292,298,349,4.37E-04,1.06E-05,4.48E-04,1060,18108
pop,37616.85822,299,276,5.20E-04,3.57E-05,5.56E-04,3573,22478
or,-37587.03787,300,58,-0.001918701,0.003704688,0.001785986,370855,72180
any,-37554.61775,301,124,-9.89E-04,0.001239787,2.51E-04,124108,10145
ben,37426.90701,302,279,5.07E-04,3.17E-05,5.39E-04,3175,21785
bubbles,37194.98666,303,389,4.05E-04,4.81E-06,4.10E-04,482,16553
ali,37128.77985,304,341,4.44E-04,1.35E-05,4.58E-04,1356,18499
ide,37086.56546,305,435,3.77E-04,8.29E-07,3.78E-04,83,15272
dee,37010.954,306,376,4.14E-04,6.88E-06,4.21E-04,689,16999
year,-36959.19032,307,186,-6.90E-04,7.37E-04,4.73E-05,73778,1913
against,-36845.64378,308,248,-5.59E-04,5.61E-04,2.62E-06,56208,106
anu,36787.60802,309,465,3.66E-04,4.00E-08,3.66E-04,4,14789
michael,36782.02277,310,203,6.37E-04,9.51E-05,7.32E-04,9518,29582
amanda,36664.86561,311,386,4.07E-04,6.31E-06,4.14E-04,632,16717
ola,36578.83952,312,456,3.69E-04,4.99E-07,3.69E-04,50,14932
even,-36494.08347,313,192,-6.76E-04,7.20E-04,4.43E-05,72077,1790
ere,36457.57777,314,433,3.77E-04,1.67E-06,3.79E-04,167,15323
lucky,36440.61572,315,273,5.21E-04,4.11E-05,5.62E-04,4114,22728
hay,36411.54656,316,363,4.28E-04,1.13E-05,4.39E-04,1132,17738
los,36190.48815,317,356,4.32E-04,1.29E-05,4.45E-04,1292,17972
thought,-36124.75184,318,245,-5.62E-04,5.68E-04,5.79E-06,56883,234
punk,36060.5674,319,409,3.94E-04,4.94E-06,3.99E-04,495,16121
yang,36035.98328,320,439,3.76E-04,2.01E-06,3.78E-04,201,15265
back,-36019.80243,321,150,-8.59E-04,0.001022204,1.64E-04,102327,6611
super,35884.69799,322,342,4.43E-04,1.66E-05,4.59E-04,1666,18563
take,-35867.88749,323,193,-6.70E-04,7.17E-04,4.64E-05,71735,1874
mor,35745.10432,324,458,3.67E-04,1.26E-06,3.68E-04,126,14892
another,-35736.78059,325,240,-5.72E-04,5.81E-04,9.70E-06,58188,392
sie,35736.69566,326,480,3.57E-04,1.80E-07,3.57E-04,18,14445
lovely,35488.81826,327,247,5.59E-04,6.27E-05,6.22E-04,6278,25141
three,-35470.67778,328,177,-7.21E-04,7.97E-04,7.63E-05,79812,3083
jasmine,35408.56945,329,464,3.66E-04,1.56E-06,3.68E-04,156,14861
ice,35371.43561,330,280,5.07E-04,4.04E-05,5.48E-04,4046,22136
barbie,35316.48099,331,477,3.59E-04,7.79E-07,3.60E-04,78,14539
how,-35288.50876,332,151,-8.48E-04,0.001014113,1.66E-04,101517,6703
mag,35281.30856,333,468,3.63E-04,1.32E-06,3.64E-04,132,14726
bub,35127.35894,334,494,3.51E-04,1.60E-07,3.51E-04,16,14190
nat,35110.56592,335,463,3.66E-04,1.98E-06,3.68E-04,198,14880
hie,34960.10351,336,496,3.50E-04,2.30E-07,3.50E-04,23,14158
our,-34956.42014,337,159,-8.09E-04,9.49E-04,1.40E-04,95006,5663
superman,34921.66543,338,478,3.59E-04,1.22E-06,3.60E-04,122,14545
anna,34778.98376,339,320,4.67E-04,2.78E-05,4.95E-04,2787,19988
san,34712.26223,340,329,4.58E-04,2.53E-05,4.84E-04,2529,19545
soy,34516.91707,341,488,3.54E-04,1.10E-06,3.55E-04,110,14338
ton,34441.96003,342,437,3.77E-04,4.82E-06,3.82E-04,483,15424
make,-34419.42161,343,180,-7.12E-04,7.94E-04,8.15E-05,79481,3295
gui,34384.47933,344,490,3.53E-04,1.17E-06,3.54E-04,117,14310
han,34264.94787,345,484,3.57E-04,1.82E-06,3.58E-04,182,14485
pre,33908.52733,346,486,3.56E-04,2.18E-06,3.58E-04,218,14456
much,-33747.32024,347,165,-7.83E-04,9.20E-04,1.37E-04,92142,5540
mis,33720.27358,348,509,3.44E-04,8.39E-07,3.44E-04,84,13919
miguel,33654.74931,349,449,3.72E-04,5.45E-06,3.78E-04,546,15260
cd,33652.66825,350,398,4.00E-04,1.15E-05,4.11E-04,1154,16616
mickey,33589.89757,351,438,3.76E-04,6.29E-06,3.82E-04,630,15439
nel,33575.63503,352,522,3.37E-04,3.00E-07,3.37E-04,30,13635
gie,33568.75954,353,524,3.36E-04,2.30E-07,3.36E-04,23,13599
dancer,33559.62748,354,444,3.74E-04,5.97E-06,3.80E-04,598,15349
lauren,33534.82128,355,504,3.46E-04,1.38E-06,3.47E-04,138,14041
ard,33513.86116,356,529,3.34E-04,1.20E-07,3.35E-04,12,13521
del,33496.71521,357,421,3.83E-04,7.94E-06,3.91E-04,795,15784
amy,33477.89392,358,417,3.85E-04,8.54E-06,3.94E-04,855,15910
ari,33466.3297,359,485,3.56E-04,2.94E-06,3.59E-04,294,14506
anne,33452.64236,360,292,4.94E-04,4.39E-05,5.37E-04,4390,21717
used,-33318.82064,361,213,-6.25E-04,6.69E-04,4.41E-05,66970,1784
last,-33267.28094,362,196,-6.59E-04,7.21E-04,6.20E-05,72182,2505
beb,33212.00493,363,549,3.30E-04,9.99E-09,3.30E-04,1,13334
yeah,-33201.24021,364,171,-7.28E-04,8.33E-04,1.05E-04,83382,4231
poop,33188.05798,365,532,3.34E-04,3.90E-07,3.35E-04,39,13520
oby,33039.95548,366,555,3.28E-04,2.00E-08,3.28E-04,2,13272
ber,33037.84937,367,548,3.30E-04,1.80E-07,3.31E-04,18,13361
err,32972.95869,368,519,3.39E-04,1.19E-06,3.40E-04,119,13747
min,32917.08404,369,453,3.71E-04,6.81E-06,3.78E-04,682,15283
chocolate,32827.69809,370,365,4.23E-04,2.06E-05,4.44E-04,2066,17943
just,-32715.07256,371,127,-9.67E-04,0.001294151,3.27E-04,129550,13225
db,32699.50111,372,530,3.34E-04,9.49E-07,3.35E-04,95,13549
ger,32615.85606,373,546,3.31E-04,6.09E-07,3.31E-04,61,13383
cen,32592.21297,374,561,3.26E-04,1.80E-07,3.26E-04,18,13182
ever,32561.88983,375,163,7.90E-04,2.59E-04,0.001048877,25904,42390
ion,32533.81726,376,479,3.57E-04,4.83E-06,3.62E-04,484,14641
bella,32341.28818,377,476,3.59E-04,5.57E-06,3.65E-04,558,14747
lady,32217.07166,378,234,5.81E-04,9.71E-05,6.78E-04,9722,27414
alexis,32209.7,379,526,3.35E-04,1.75E-06,3.37E-04,175,13629
kayla,31974.40088,380,573,3.18E-04,3.00E-08,3.18E-04,3,12851
cherry,31925.11877,381,455,3.70E-04,8.65E-06,3.78E-04,866,15283
isa,31808.95634,382,551,3.29E-04,1.43E-06,3.31E-04,143,13360
same,-31803.76869,383,237,-5.79E-04,6.13E-04,3.42E-05,61409,1384
bunny,31719.89204,384,506,3.45E-04,4.06E-06,3.49E-04,406,14103
cor,31647.65124,385,481,3.57E-04,6.57E-06,3.64E-04,658,14699
len,31609.11533,386,501,3.47E-04,4.66E-06,3.52E-04,466,14214
cal,31556.25918,387,550,3.30E-04,1.88E-06,3.32E-04,188,13406
ram,31549.25669,388,452,3.72E-04,1.01E-05,3.82E-04,1010,15430
ria,31460.73738,389,576,3.15E-04,2.30E-07,3.16E-04,23,12752
hey,31449.43387,390,402,3.98E-04,1.76E-05,4.16E-04,1759,16809
angels,31411.96298,391,474,3.61E-04,7.84E-06,3.68E-04,785,14890
ada,31352.02288,392,547,3.30E-04,2.28E-06,3.33E-04,228,13448
lan,31336.39451,393,538,3.32E-04,2.55E-06,3.35E-04,255,13523
dre,31335.73716,394,582,3.12E-04,4.00E-08,3.12E-04,4,12601
chu,31329.48482,395,571,3.18E-04,6.49E-07,3.19E-04,65,12881
bee,31273.05301,396,502,3.47E-04,5.22E-06,3.52E-04,523,14219
omar,31246.41057,397,554,3.28E-04,2.14E-06,3.31E-04,214,13362
ian,31237.96976,398,299,4.88E-04,5.32E-05,5.41E-04,5327,21881
tra,31214.35886,399,578,3.14E-04,3.40E-07,3.14E-04,34,12704
des,31197.27327,400,382,4.08E-04,2.15E-05,4.30E-04,2157,17376
eng,31115.25037,401,575,3.17E-04,7.49E-07,3.18E-04,75,12834
ley,30948.44907,402,562,3.24E-04,1.98E-06,3.26E-04,198,13191
come,-30921.89591,403,211,-6.28E-04,6.95E-04,6.63E-05,69525,2680
linda,30864.33442,404,451,3.72E-04,1.19E-05,3.84E-04,1192,15506
since,-30784.9006,405,293,-4.93E-04,5.02E-04,8.56E-06,50219,346
nick,30713.07179,406,357,4.32E-04,3.16E-05,4.63E-04,3166,18721
jess,30651.43639,407,516,3.40E-04,5.24E-06,3.46E-04,525,13967
jam,30401.6624,408,473,3.61E-04,1.05E-05,3.72E-04,1050,15026
different,-30396.45114,409,312,-4.77E-04,4.83E-04,5.89E-06,48374,238
alo,30341.3787,410,606,3.02E-04,4.99E-08,3.02E-04,5,12208
leo,30212.29884,411,489,3.53E-04,8.95E-06,3.62E-04,896,14627
cheer,29945.55337,412,505,3.45E-04,7.80E-06,3.53E-04,781,14267
jennifer,29905.03106,413,507,3.44E-04,7.65E-06,3.52E-04,766,14217
within,-29885.04017,414,328,-4.59E-04,4.62E-04,3.32E-06,46274,134
sak,29825.29796,415,618,2.96E-04,2.00E-08,2.96E-04,2,11982
bam,29823.38661,416,600,3.03E-04,6.79E-07,3.04E-04,68,12286
life,29819.31674,417,123,9.91E-04,5.66E-04,0.001556713,56628,62914
green,29784.77043,418,215,6.19E-04,1.46E-04,7.65E-04,14637,30920
kar,29763.50702,419,620,2.96E-04,4.00E-08,2.96E-04,4,11970
mil,29715.58201,420,603,3.03E-04,7.29E-07,3.03E-04,73,12262
found,-29710.93179,421,310,-4.79E-04,4.89E-04,9.28E-06,48923,375
sponge,29683.99513,422,552,3.29E-04,4.92E-06,3.34E-04,493,13488
during,-29675.17655,423,346,-4.39E-04,4.40E-04,2.72E-07,44013,11
les,29656.51179,424,432,3.78E-04,1.71E-05,3.95E-04,1716,15951
esc,29586.05771,425,599,3.04E-04,1.04E-06,3.05E-04,104,12325
princes,29581.07578,426,512,3.41E-04,7.79E-06,3.49E-04,780,14112
flower,29547.85052,427,405,3.96E-04,2.36E-05,4.20E-04,2363,16974
sim,29543.92256,428,598,3.04E-04,1.13E-06,3.05E-04,113,12340
although,-29541.18038,429,352,-4.36E-04,4.36E-04,7.42E-08,43637,3
ala,29504.83182,430,616,2.98E-04,4.40E-07,2.98E-04,44,12060
ima,29492.18768,431,630,2.94E-04,8.99E-08,2.94E-04,9,11890
andrew,29424.83314,432,338,4.48E-04,4.49E-05,4.93E-04,4490,19937
don,29308.29379,433,436,3.77E-04,1.81E-05,3.95E-04,1812,15964
aby,29306.2749,434,633,2.93E-04,1.50E-07,2.93E-04,15,11847
chelsea,29284.71724,435,459,3.67E-04,1.52E-05,3.82E-04,1526,15453
charlie,29255.69338,436,388,4.05E-04,2.80E-05,4.33E-04,2799,17512
mai,29145.79342,437,611,3.01E-04,1.21E-06,3.02E-04,121,12207
matt,29144.25827,438,500,3.49E-04,1.07E-05,3.59E-04,1067,14526
mam,29093.19843,439,563,3.24E-04,5.12E-06,3.29E-04,513,13293
each,-29042.92812,440,296,-4.91E-04,5.07E-04,1.63E-05,50797,659
ker,28900.64726,441,645,2.89E-04,1.90E-07,2.90E-04,19,11704
around,-28882.48614,442,340,-4.48E-04,4.52E-04,4.26E-06,45286,172
pap,28809.20607,443,621,2.96E-04,1.02E-06,2.97E-04,102,12004
feb,28794.90205,444,593,3.07E-04,2.66E-06,3.10E-04,266,12519
without,-28747.28795,445,332,-4.55E-04,4.61E-04,6.46E-06,46180,261
under,-28744.57084,446,246,-5.61E-04,6.10E-04,4.89E-05,61033,1977
tiger,28714.1279,447,520,3.38E-04,9.06E-06,3.47E-04,907,14018
pan,28703.24362,448,448,3.73E-04,1.89E-05,3.92E-04,1895,15838
pretty,28693.23138,449,281,5.06E-04,7.96E-05,5.86E-04,7964,23669
fat,28639.18019,450,343,4.42E-04,4.61E-05,4.88E-04,4611,19715
ich,28567.00398,451,647,2.89E-04,4.60E-07,2.89E-04,46,11691
rah,28542.88169,452,660,2.84E-04,5.99E-08,2.84E-04,6,11492
aku,28541.93938,453,662,2.84E-04,2.00E-08,2.84E-04,2,11467
went,-28408.74225,454,318,-4.70E-04,4.83E-04,1.25E-05,48338,507
danny,28401.60328,455,533,3.34E-04,8.94E-06,3.43E-04,895,13861
bel,28392.50816,456,622,2.96E-04,1.58E-06,2.98E-04,158,12026
nikki,28212.62353,457,648,2.88E-04,8.19E-07,2.89E-04,82,11690
kevin,28167.33874,458,426,3.80E-04,2.33E-05,4.04E-04,2336,16312
ira,28146.54415,459,470,3.63E-04,1.76E-05,3.80E-04,1760,15365
katie,28143.45644,460,584,3.12E-04,4.65E-06,3.16E-04,465,12782
ist,28140.5053,461,665,2.83E-04,3.20E-07,2.84E-04,32,11459
danielle,28128.49323,462,617,2.97E-04,2.14E-06,2.99E-04,214,12094
rie,28070.50461,463,670,2.82E-04,2.50E-07,2.82E-04,25,11399
samantha,28066.56595,464,614,2.99E-04,2.55E-06,3.02E-04,255,12190
rec,28023.33367,465,656,2.85E-04,6.19E-07,2.85E-04,62,11537
nay,27985.5215,466,612,3.01E-04,2.93E-06,3.03E-04,293,12265
dad,27967.87263,467,302,4.86E-04,7.31E-05,5.59E-04,7320,22585
ade,27912.53359,468,666,2.83E-04,4.89E-07,2.83E-04,49,11440
ler,27892.83211,469,689,2.77E-04,3.00E-08,2.77E-04,3,11213
sammy,27790.59149,470,609,3.01E-04,3.40E-06,3.05E-04,340,12314
here,-27745.16183,471,221,-6.10E-04,6.99E-04,8.86E-05,69952,3580
part,-27714.27318,472,305,-4.83E-04,5.04E-04,2.09E-05,50467,846
really,-27701.58555,473,322,-4.66E-04,4.80E-04,1.46E-05,48090,591
tam,27691.14365,474,644,2.90E-04,1.76E-06,2.92E-04,176,11799
liz,27637.29871,475,487,3.55E-04,1.68E-05,3.72E-04,1686,15015
meg,27523.66273,476,564,3.24E-04,8.68E-06,3.32E-04,869,13436
hunter,27430.5978,477,518,3.40E-04,1.31E-05,3.53E-04,1312,14261
shadow,27422.20481,478,410,3.92E-04,3.09E-05,4.23E-04,3095,17102
sen,27416.73435,479,646,2.89E-04,2.02E-06,2.91E-04,202,11768
rio,27393.34558,480,594,3.07E-04,5.17E-06,3.12E-04,518,12601
again,-27360.86413,481,272,-5.21E-04,5.62E-04,4.03E-05,56231,1628
lis,27254.36605,482,695,2.76E-04,4.89E-07,2.77E-04,49,11175
own,-27246.0788,483,218,-6.14E-04,7.11E-04,9.70E-05,71143,3920
local,-27216.7349,484,333,-4.51E-04,4.63E-04,1.21E-05,46363,491
buddy,27206.38994,485,641,2.91E-04,2.62E-06,2.93E-04,262,11859
gel,27186.5194,486,581,3.14E-04,7.11E-06,3.21E-04,712,12959
emma,27146.61478,487,510,3.42E-04,1.47E-05,3.57E-04,1469,14422
utz,27076.67775,488,717,2.69E-04,2.00E-08,2.69E-04,2,10879
ras,26938.69591,489,672,2.81E-04,1.52E-06,2.82E-04,152,11417
nov,26936.89168,490,604,3.03E-04,5.31E-06,3.08E-04,532,12445
vin,26858.15149,491,694,2.76E-04,9.89E-07,2.77E-04,99,11205
enc,26851.08052,492,723,2.68E-04,9.99E-08,2.68E-04,10,10835
nic,26833.41015,493,701,2.74E-04,7.99E-07,2.75E-04,80,11126
shi,26799.96658,494,715,2.70E-04,3.00E-07,2.70E-04,30,10911
ata,26723.907,495,706,2.73E-04,7.09E-07,2.73E-04,71,11048
basketball,26664.42281,496,667,2.82E-04,2.09E-06,2.84E-04,209,11483
jun,26657.5405,497,699,2.75E-04,1.11E-06,2.76E-04,111,11166
tinkerbell,26561.10689,498,730,2.67E-04,2.30E-07,2.67E-04,23,10783
kan,26547.03534,499,731,2.67E-04,2.40E-07,2.67E-04,24,10782
quite,-26535.81802,500,383,-4.08E-04,4.11E-04,3.09E-06,41170,125
